Nombre,Categoría,Calificación,Número de Opiniones,Dirección,Latitud,Longitud,Imagen
Santé Greek Eatery Tijuana,griega,4.7,180+,"Avenida Miguel Alemán Valdéz 2883, Segundo Piso, Local 3, Tijuana, BC 22044",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/06ec3f27381b2d4cf8fdb26525cfcc44/61e8d264e9409914f90881b13f54d0ac.jpeg
CAFFENIO Jardin Dorado,americana,4.6,310+,"Boulevard Licenciado Hector Teran Teran 3201, Tijuana, LATAM 22200",32.5448631,-116.923968,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
McDonalds Insurgentes,americana,4.5,"8,000+","Av De Los Insurgentes 18015, Rio Tijuana 3ra Etapa, Tijuana, B.C., Mexico, B.C. 22217",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/f64fe93dccbde15c431dd28a69cccee5/63d18745892c100be9e4ef3c560c9204.jpeg
Frutería La Jungla,comida económica,4.7,"1,000+","Plaza San Jorge, Bulevar Lázaro Cárdenas 5100, Gas Y Anexas, 22105 Tijuana, B.C., México, Local	17 , B.C. 22115",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/9620ab233273d339c5813be7bbdc095d/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Café Aquamarino  Sucursal Malecón,cafetería,4.6,"2,000+","Paseo Costero 1342, Costa, Tijuana, B.C., México, 22500",32.4983,-117.1207,https://tb-static.uber.com/prod/image-proc/processed_images/0a7f94aacd581c0cd631d884df591cfc/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Bol Corona  20 de Noviembre,mexicana,4.6,"5,000+","Blvd. De Las Americas, Lomas De Agua Caliente, Tijuana, Baja California 22100",46.17496,18.95639,https://tb-static.uber.com/prod/image-proc/processed_images/3441a604d84f32759c8cc74965186450/f8403c421bef668ad381b5e82e546060.jpeg
Karnes En Su Jugo Sucursal 3ra Etapa del Río,mexicana,4.6,700+,"Boulevard Manuel J. Clouthier 16702 (Local 9), Tijuana, LATAM 22226",31.8856,-116.4323,https://tb-static.uber.com/prod/image-proc/processed_images/66fb76725e8733a34e6bb002ce80c3f2/820883a48567670acbd720bc76391291.jpeg
Starbucks OTAY,cafetería,4.6,"2,000+","Blvr. Lázaro Cárdenas 16002, Tijuana, Baja California 22457",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/dd22da490a47459bc5f9912687029929/63d18745892c100be9e4ef3c560c9204.jpeg
La Postal Teriyaki  Sushi Suc Teran,asiática,4.4,120+,"De Los Charros 1052, Tijuana, LATAM 22470",32.5050054,-116.9716032,https://tb-static.uber.com/prod/image-proc/processed_images/4874ea95c4bd980b71df74fb70db69c5/891233042e9ada9873fc6d9c4e835eac.jpeg
Netos Elotes,mexicana,4.8,340+,"Avenida Colina De La Escondida 149, Residencial Agua Caliente, Tijuana, LATAM 22420",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/8d866093c36751e9916341f5e4090d3a/69ad85cd7b39888042b3bbf1c22d630d.webp
Ishiro Teriyaki  Sushi,asiática,4.3,"2,000+","Boulevard Cuauhtémoc Sur Poniente, Local #1, Tijuana, BC 22015",31.7007,-116.3597,https://tb-static.uber.com/prod/image-proc/processed_images/d6a65acbee765470921eb4fd7b2da234/f8403c421bef668ad381b5e82e546060.jpeg
China de Oro,asiática fusión,4.8,"3,000+","De La Alegría 1401, Tijuana, LATAM 22530",32.5309301,-117.0721968,https://tb-static.uber.com/prod/image-proc/processed_images/cec2f493eef1d1aa0861ec01122863eb/9b3aae4cf90f897799a5ed357d60e09d.webp
Las Tablas Tijuana,mexicana,4.5,490+,"Calle Paseo Del Río 6642-D Colonia Rio Tijuana 3ra Etapa, Baja California 22225",,,https://tb-static.uber.com/prod/image-proc/processed_images/321ef2e72b4b9f46aad9a445877d7601/9b3aae4cf90f897799a5ed357d60e09d.jpeg
El Pan Nuestro Express Garita Sanysidro,mexicana,4.5,"1,000+","Calle Rampa Xicoténcatl 235, 1229, Tijuana, BC 22010",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/e3db836dfc8fe4561997af3cdcd06db1/f8403c421bef668ad381b5e82e546060.jpeg
Arirang Fonda Coreana,asiática,4.7,700+,"Avenida Niños Héroes 912, Tijuana, 22000, Bc, Mx, BC 22000",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/b08c7bba6690734c036fd2defa0a34d9/9b3aae4cf90f897799a5ed357d60e09d.webp
Almanara,ambiente familiar,4.8,"4,000+","Blvd. Agua Caliente 4087, El Prado, Tijuana, Baja California 22105",32.0022,-116.633,https://tb-static.uber.com/prod/image-proc/processed_images/276fc8aea09804a1f9b37ccdc344a980/f8403c421bef668ad381b5e82e546060.jpeg
Akashi Sushi Express Tijuana,asiática,4.3,340+,"Avenida Lic José López Portillo Poniente, Tijuana, 22436, Baja California, Mx, Local 11, BC 22436",32.0499,-115.9773,https://tb-static.uber.com/prod/image-proc/processed_images/4df4eba8a62d052f1802394e45ec3ebd/7835428b286acb57646a256c897c0e9e.jpeg
KFC LOS PINOS TIJUANA 839,americana,4.2,800+,"Blvd. Gustavo Díaz Ordaz 17125, Jardines De La Mesa, 22126 Tijuana, B.C., LATAM 22126",32.4707303,-116.9332419,https://tb-static.uber.com/prod/image-proc/processed_images/63681dc5440962f676daf1cde7ffafdd/7835428b286acb57646a256c897c0e9e.jpeg
 PizzaLoveOtay Industrial,italiana,4.3,"2,000+","Blvd Industrial 18663 Esquina Con Lopez Portillo Otay Seccion, Tecnológico,, Tijuana, Baja California 22454",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/b16d63d29e299250d15a7fd889ecfd0c/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Giuseppis  Sucursal Pacífico,italiana,4.6,"6,000+","Libramiento Oriente No. 7521, Int.K-2 Industrial Del Pacífico, Tijuana, Baja California 22643",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/25825e64d1051139c74bb117be1309bb/f8403c421bef668ad381b5e82e546060.jpeg
Subway Multiplaza El Águila,americana,4.5,"6,000+","Av. Aguila Real, Baja Maq El Aguila, 22215 Tijuana, B.C., Mexico, Local 15 Y 16, B.C. 22215",31.9621,-116.2723,https://tb-static.uber.com/prod/image-proc/processed_images/0aec7a0b95c96b9c049b64912d0ad45e/7835428b286acb57646a256c897c0e9e.jpeg
Antojos Manzano,desayuno,4.7,"2,000+","Av. Aquiles Serdan 11610, Libertad, 22400 Tijuana, B.C., México, B.C. 22400",32.5769,-116.5883,https://tb-static.uber.com/prod/image-proc/processed_images/ff6a12f119d0ec1a299c2137f4cb2dee/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Yokomy Sushi Casa Blanca,japonesa,4.6,"1,000+","Blvd Del Águila 19266, Tijuana, BC 22215",31.9621,-116.2723,https://tb-static.uber.com/prod/image-proc/processed_images/a4a0b19e49464b527db509f8c04839cb/f8403c421bef668ad381b5e82e546060.jpeg
Sushin Go Otay,japonesa,4.5,"2,000+","Av. José López Portillo Ote., Nueva Tijuana, Baja California 22435",32.0499,-115.9773,https://tb-static.uber.com/prod/image-proc/processed_images/ff6c9639771bf5433a80e3b62146570a/9b3aae4cf90f897799a5ed357d60e09d.jpeg
The Coffee Room,americana,4.8,800+,"Av De Los Insurgentes 17017, Los Alamos, 22110 Tijuana, B.C., México, Plaza Peninsula, B.C. 22110",32.0692,-116.6217,https://tb-static.uber.com/prod/image-proc/processed_images/7119863508b63e676c0609324a8ee6ef/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Gianluca Ristorante Pizzería Otay,italiana,4.6,"3,000+","Calz Del Tecnológico 14527, La Pechuga, Universidadotay, 22427 Tijuana, B.C., Mexico, B.C. 22427",32.1947,-116.4857,https://tb-static.uber.com/prod/image-proc/processed_images/b42f604146348731f09f714b90260960/69ad85cd7b39888042b3bbf1c22d630d.jpeg
La Reyna de Michoacán,repostería,4.7,900+,"Coahuila 7916, Tijuana, Baja California 22100",32.4837653,-116.9800964,https://d1ralsognjng37.cloudfront.net/d144642f-7a76-4fec-b2c8-9826e84d6a23.jpeg
Nektar Coffee,saludable,4.8,"6,000+","Paseo Pedregal #1370, Secc. Jardines, Playas De Tijuana. 22505, Baja california 22505",46.17496,18.95639,https://tb-static.uber.com/prod/image-proc/processed_images/afacbf61bd7995c86911da02dd3264ae/f8403c421bef668ad381b5e82e546060.jpeg
Yokomy Sushi Palmas,japonesa,4.4,"1,000+","Blvd. Gustavo Diaz Ordaz 12828, Tijuana, LATAM 22420",32.5074512,-116.9812211,https://tb-static.uber.com/prod/image-proc/processed_images/a4a0b19e49464b527db509f8c04839cb/f8403c421bef668ad381b5e82e546060.jpeg
Chi2 Chilaquiles y Ciabattas Santa Fe,americana,4.6,500+,"Boulevard Santa Fe, Residencial Santa Fe 4, Tijuana, 22654, Baja California, Mx, BC 22654",46.17496,18.95639,https://tb-static.uber.com/prod/image-proc/processed_images/9abc1a6e3cc944bc979d888229447830/61e8d264e9409914f90881b13f54d0ac.jpeg
Pollos Titos Jibarito,comida rápida,4.5,240+,"Blvd. Salvatierra 3101 5, Puesta Del Sol, Tijuana, BC 22504",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/2723a722f043495ef61103d4bca80cd6/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
PHO TOROS,asiática,4.8,"1,000+","Boulevard Gustavo Díaz Ordaz 1835, Tijuana, BC 22106",32.5088823,-116.9885913,https://tb-static.uber.com/prod/image-proc/processed_images/dd822968eb5fb197bb44baea982fbeb0/69ad85cd7b39888042b3bbf1c22d630d.webp
El Rooster Tijuana Food Joint,americana,4.7,"1,500+","Rampa Aeropuerto 16000, La Pechuga, 22425 Tijuana, B.C., México, B.C. 22425",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/3c594656f4504b045fdc92b26fdb7d97/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Mariscos Moyocoyo,ambiente familiar,4.7,900+,"Calz Del Tecnológico 707, Tijuana, B.C. 22427",32.1947,-116.4857,https://tb-static.uber.com/prod/image-proc/processed_images/57f8755f8f5235dc50e555ce1c84faf8/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Tajima Restaurante Taboada,asiática,4.5,180+,"Boulevard General Rodolfo Sánchez Taboada 10133-2, Tijuana, Baja California 22010",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/50edc936f481d2595f9158ece882a1a2/16bb0a3ab8ea98cfe8906135767f7bf4.jpeg
La Postal Teriyaki  Sushi Suc La Libertad Tijuana,asiática,4.6,180+,"Av. Miguel Anzurez 1397, Libertad, Tijuana, LATAM 22400",32.5769,-116.5883,https://tb-static.uber.com/prod/image-proc/processed_images/4874ea95c4bd980b71df74fb70db69c5/891233042e9ada9873fc6d9c4e835eac.jpeg
Wok Grill Macroplaza Tijuana,asiática,4.7,"2,000+","18015 Boulevard Insurgentes, Tijuana, LATAM 22660",32.4031,-117.0306,https://tb-static.uber.com/prod/image-proc/processed_images/17781e7a8885aaf9c7b4b4dde1a1b9e5/891233042e9ada9873fc6d9c4e835eac.jpeg
Sushiman,japonesa,4.6,"1,000+","Boulevard Agua Caliente 10387, Tijuana, 22020, Bc, Mx, PRIMER PISO  LOCAL. 102 B, BC 22020",41.66667,2.0,https://d1ralsognjng37.cloudfront.net/1b0f6f48-ecbf-4c58-9e63-87331495f287.jpeg
Tacos el Jefe,mexicana,4.6,"1,000+","Blvd. De Las Bellas Artes 19603, Nueva Tijuana,, BC 22435",32.5446483,-116.9266944,https://tb-static.uber.com/prod/image-proc/processed_images/b5e59a1b1d5c49986178f62daed505af/a70f5c9df440d10213e93244e9eb7cad.jpeg
El rey asil,americana,4.6,"2,000+","Blv Diaz Ordaz 13755, Tijuana, BCN 22106",31.9736,-116.3378,https://tb-static.uber.com/prod/image-proc/processed_images/7b7c59f25fdcd325269ee9d269ea5b0f/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Mama Mia Pizza Monarca,italiana,4.6,"3,000+","Blvd. Manuel J. Clouthier 5561, Cerro Colorado, Amp. Guaycura, 22550 Tijuana, B.C., México, Local 11 , B.C. 22217",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/106b6db7a05d3bb2d194508210fa897e/f7e27f77a1abfdaa9fab9b4ae7dab7cb.jpeg
Mama Mia Pizza Huertas,italiana,4.5,"3,000+","Blvd. Gustavo Diaz Ordaz 17001, Las Huertas, Maurilio Magallon, 22105 Tijuana, B.C., Mexico, B.C. 22116",48.51056,-2.12722,https://tb-static.uber.com/prod/image-proc/processed_images/106b6db7a05d3bb2d194508210fa897e/f7e27f77a1abfdaa9fab9b4ae7dab7cb.jpeg
CAFFENIO Siglo XXI,americana,4.7,84,"Blvd. Gustavo Díaz Ordaz 15785, Tijuana, LATAM 22116",32.4815016,-116.9380112,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
Beaven Pasteleros  Sucursal Marrón,repostería,4.8,"1,000+","Río Balsas 2333 Col. Marron 22015 Tijuana, B.C., Baja California 22015",31.7007,-116.3597,https://tb-static.uber.com/prod/image-proc/processed_images/bc4d4363f4a3373cf6e0b17d2ec61de5/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Monociclo Coffee Roasters,cafetería,4.8,700+,"C. Pedregal 1478, Playas, Sección Dorado, Tijuana, BC 22505",32.4763044,-117.0288608,https://tb-static.uber.com/prod/image-proc/processed_images/18d178673d779b64dca20904b096f27a/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Pollos Titos  Fundadores,comida rápida,4.6,900+,"Boulevard Fundadores 6802, Local 2 (Plaza Calimax), Tijuana, Baja California 22637",31.6201,-116.3625,https://tb-static.uber.com/prod/image-proc/processed_images/5152a74f3c4dbade3f7899721dbaa422/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Menuderia Guadalajara Santa Fe,mexicana,4.4,"2,000+","Blvd. El Rosario 7002, Costa Dorada, 22290 Tijuana, B.C., Mexico, 22667",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/5efa299879c5364e7d729e111960e292/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Regina Café Tijuana,cafetería,4.8,52,"Avenida Tlaltizapán 2481, Tijuana, BC 22056",32.5200947,-117.0384143,https://tb-static.uber.com/prod/image-proc/processed_images/d596a36e84539ca568374391529dd782/891233042e9ada9873fc6d9c4e835eac.jpeg
Giuseppis  Sucursal Playas de Tijuana,italiana,4.7,"6,000+","Paseo Ensenada 109, Playas, Terrazas, 22330 Tijuana, B.C., Mexico, 22504",32.4983,-117.1207,https://tb-static.uber.com/prod/image-proc/processed_images/25825e64d1051139c74bb117be1309bb/f8403c421bef668ad381b5e82e546060.jpeg
Pizza  Love Siglo XXI ,italiana,4.4,"1,500+","Boulevard Gustavo Díaz Ordaz 17301, 22, Tijuana, BC 22115",32.0532,-115.7858,https://tb-static.uber.com/prod/image-proc/processed_images/b16d63d29e299250d15a7fd889ecfd0c/9b3aae4cf90f897799a5ed357d60e09d.jpeg
La Postal Teriyaki  Sushi Suc Rio Bravo,asiática,4.0,160+,"Avenida Rio Bravo #9920-1 Colonia Revolucion Tijuana, LATAM 22015",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/4874ea95c4bd980b71df74fb70db69c5/891233042e9ada9873fc6d9c4e835eac.jpeg
DLachi Laboratori Di Pasta Tijuana,argentina,4.2,81,"Ave. Agua Caliente 2283, 1 - 2 - 3, Tijuana, BC 22040",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/27a5aa48b31a34e555b2f07ddae58afe/6a46de29c91d235bc2878fe87fd740f6.jpeg
Starbucks Hipodromo Caliente,cafetería,4.5,"2,000+","Boulevard Agua Caliente 12027, Tijuana, BC 22020",32.5094823,-116.9942839,https://tb-static.uber.com/prod/image-proc/processed_images/dd22da490a47459bc5f9912687029929/63d18745892c100be9e4ef3c560c9204.jpeg
TIJUANA JR  TACOS EL JUNIOR,mexicana,4.6,"9,000+","Ocampo 1400, Zonaeste, 22000 Tijuana, B.C., Mexico, B.C. 22046",32.4911,-117.0231,https://tb-static.uber.com/prod/image-proc/processed_images/3ad74f8db02fce70e3f58aab65053b91/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Granolandia Tu Barra de Elotes,mexicana,4.6,"2,000+","Avenida Ensenada 2264, Cacho, Tijuana, Baja California 22040",32.51677,-117.0268956,https://tb-static.uber.com/prod/image-proc/processed_images/56dfa4ff35542a33ab02e2ea92fe7880/9b3aae4cf90f897799a5ed357d60e09d.jpeg
La Elotería Ermita,mexicana,4.5,"2,000+","Calzada Ermita Norte, Santa Cruz, 22105 Tijuana, B.C., Mexico, B.C. 22105",32.0022,-116.633,https://tb-static.uber.com/prod/image-proc/processed_images/24b9598ca8f93226d1a236236d790980/69ad85cd7b39888042b3bbf1c22d630d.jpeg
SaketoriYa Paseo del Parque,asiática,4.5,"1,500+","Calle Paseo Del Parque 18025, Tijuana, BC 22214",32.1895,-115.9708,https://tb-static.uber.com/prod/image-proc/processed_images/d81f1df4d8d9d2f6210b2cc4789b16a3/a70f5c9df440d10213e93244e9eb7cad.jpeg
La Postal Teriyaki  Sushi Suc Camino Verde,japonesa,4.5,83,"Blvd. Baja California 6267, Tijuana, LATAM 22190",32.4723115,-116.9836718,https://tb-static.uber.com/prod/image-proc/processed_images/4874ea95c4bd980b71df74fb70db69c5/891233042e9ada9873fc6d9c4e835eac.jpeg
China King,asiática,4.7,"4,000+","Cuauhtemoc Sur 8497, Tijuana, Baja California 22634",32.5049183,-117.0225269,https://tb-static.uber.com/prod/image-proc/processed_images/7283e52e6800bf5b8b7a61288edc2a95/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Creato Pizza  Deli La Recta,italiana,4.7,"2,000+","Avenida Tacubaya 22195, 22020, Tijuana, BC 22106",31.9736,-116.3378,https://tb-static.uber.com/prod/image-proc/processed_images/53110bbb03dd65ceb7e1037f8ef3fc4f/f8403c421bef668ad381b5e82e546060.jpeg
La Postal Sushi  Teriyaki B Artes,japonesa,4.4,80,"Boulevard De Las Bellas Artes 1226, Tijuana, BC 22430",32.5433901,-116.9392351,https://tb-static.uber.com/prod/image-proc/processed_images/ac3b57c29d1ebac3529ddfa9818cfc16/69ad85cd7b39888042b3bbf1c22d630d.webp
Subway Macroplaza Tijuana,americana,4.5,"2,000+","Av De Los Insurgentes 18015, FF3, Tijuana, B.C. 22226",32.4788379,-117.0167763,https://tb-static.uber.com/prod/image-proc/processed_images/0aec7a0b95c96b9c049b64912d0ad45e/7835428b286acb57646a256c897c0e9e.jpeg
Pizza Stuff,italiana,4.7,"1,000+","Avenida De Las Ferias 10551, Int 14 A, Tijuana, Baja California 22195",46.17496,18.95639,https://tb-static.uber.com/prod/image-proc/processed_images/f870684369b1a1169a4731190b23039f/f7e27f77a1abfdaa9fab9b4ae7dab7cb.webp
Il Benedetto,italiana,4.7,800+,"Boulevard General Rodolfo Sánchez Taboada 10713, B, Tijuana, LATAM 22014",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/486cb1bcfa09b7660b42b2f6539e9170/9b3aae4cf90f897799a5ed357d60e09d.webp
La Torta Plaza 5 y 10,mexicana,4.7,"9,000+","5100 Int 34, Bulevar Lázaro Cárdenas, La Mesa, Gas Y Anexas, 22105 Tijuana, B.C., Mexico, B.C. 22105",46.17299,10.30474,https://tb-static.uber.com/prod/image-proc/processed_images/3614a3c906a6287ae34b2f033f135402/891233042e9ada9873fc6d9c4e835eac.jpeg
Taberna DiJhon,italiana,4.6,"1,000+","Zitacuaro 42, Int 6, Tijuana, B.C. 22020",32.5037409,-117.0022387,https://tb-static.uber.com/prod/image-proc/processed_images/3cc396e70e0df439b1280e5819048813/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Giuseppis  Mundo Divertido,italiana,4.7,"4,000+","Ía Rápida Poniente No. 15035 Plaza Mundo Divertido, Tijuana, 22114",32.0788,-116.2682,https://tb-static.uber.com/prod/image-proc/processed_images/dc1a0d80a510508c21888530e61aed75/f8403c421bef668ad381b5e82e546060.jpeg
Oui PanaderíaCacho,repostería,4.7,500+,"Brasil 8860, Tijuana, LATAM 22040",32.6167,-115.0833,https://tb-static.uber.com/prod/image-proc/processed_images/a009db723b8402fd86cafb9787a5cbac/a70f5c9df440d10213e93244e9eb7cad.jpeg
Buffalo Wings  Ribs,alitas,4.5,"2,000+","Calle Carlota Sosa De Maldonado 398, Tijuana, 22416, Bc, Mx, BC 22416",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/4ce6f707afa3a23ade518b680ed1d156/f8403c421bef668ad381b5e82e546060.jpeg
Laihoos Bisquets Playa,desayuno,4.7,"1,000+","Calle Pedregal 2031, Playas, Dorada, Tijuana, B.C., México, B.C. 22505",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/e80e8818fd9b3951c0289d304087f205/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Los Smash Bros,americana,4.8,"1,000+","Avenida Jalisco 2496, #10 , Tijuana, BC 22044",32.5144833,-117.0234685,https://tb-static.uber.com/prod/image-proc/processed_images/2251c1c4e0486bdd30eadc7478edd2a6/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Blue Luna Agua Caliente,saludable,4.8,700+,"Boulevard Agua Caliente, Tijuana, 22014, Baja California, Mx, BC 22020",38.8406,-77.448,https://tb-static.uber.com/prod/image-proc/processed_images/493024b946c6ea39f6262508463087ff/f8403c421bef668ad381b5e82e546060.jpeg
Miguelitos Smokehouse  Restaurant,mexicana,4.5,"2,000+","Blvd Francisco Zarco 9431, Tijuana, 22667",32.4560028,-117.0429647,https://tb-static.uber.com/prod/image-proc/processed_images/4fa96db60e60159049ceedf4f26bc5c0/9b3aae4cf90f897799a5ed357d60e09d.jpeg
McDonalds Díaz Ordaz,americana,4.5,"7,000+","Blvd. Gustavo Diaz Ordaz 12, Maurilio Magallon, Tijuana, Baja California 22116",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/f64fe93dccbde15c431dd28a69cccee5/63d18745892c100be9e4ef3c560c9204.jpeg
La Postal Teriyaki  Sushi Suc Campestre Murua Tijuana,asiática,4.4,390+,"Av. Los Mochis 18601, Campestre Murua, Tijuana, LATAM 22455",32.5250204,-116.9335413,https://tb-static.uber.com/prod/image-proc/processed_images/4874ea95c4bd980b71df74fb70db69c5/891233042e9ada9873fc6d9c4e835eac.jpeg
Barbas Tropicana Restaurant,americana,4.6,350+,"Boulevard Cuauhtémoc Sur Oriente 2801, Tijuana, BC 22044",32.5220023,-117.0205227,https://tb-static.uber.com/prod/image-proc/processed_images/a76d957ef982cca51b6306aa34acb7fc/a70f5c9df440d10213e93244e9eb7cad.jpeg
TGI Fridays Macroplaza ,americana,4.7,"5,000+","Av De Los Insurgentes 18015, Rio Tijuana 3ra Etapa, Tijuana, B.C., México, Pad 2, B.C. 22217",32.5192305,-116.9899914,https://tb-static.uber.com/prod/image-proc/processed_images/08a829bfd6c47c4b05acbaa33779e6c5/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Alma Verde Playas de Tijuana,ensaladas,4.5,700+,"Paseo Ensenada 1161, Tijuana, LATAM 22500",32.5337596,-117.1134212,https://tb-static.uber.com/prod/image-proc/processed_images/5a38ad5a21fd71ab0a29911749950831/f8403c421bef668ad381b5e82e546060.jpeg
El Rey del Pollo Otay,comida rápida,4.5,"1,500+","Centro Comercial 17216, Tijuana, Baja california 22450",32.4909397,-116.92901,https://tb-static.uber.com/prod/image-proc/processed_images/043bc143c50bf0edd379123f9be35aba/f8403c421bef668ad381b5e82e546060.jpeg
Arirang Fonda Coreana,asiática,4.5,100+,"Avenida Brasil 225, Tijuana, BC 22040",32.5218353,-117.0265887,https://tb-static.uber.com/prod/image-proc/processed_images/49a00c8fd8e0f35b8c15c5d719eacb81/f8403c421bef668ad381b5e82e546060.webp
Happy Salad Pio Pico,ensaladas,4.6,"3,000+","Boulevard Agua Caliente & Avenida Pío Pico, Tijuana, BC 22226",31.8856,-116.4323,https://tb-static.uber.com/prod/image-proc/processed_images/48fb7b4f13ef1dfc37c672e5b5fd3a8d/a70f5c9df440d10213e93244e9eb7cad.jpeg
El Rey del Pollo Soler,mexicana,4.7,"1,500+","Calle Ignacio Altamirano 4567, Int 18 B, Tijuana, Baja california 22530",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/00bbca6fe1eacf4a8dc53c9b31f2f873/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Dairy Queen Otay,comida rápida,4.8,430+,"Boulevard Alberto Limon Padilla  17226, TIJUANA, LATAM 22457",32.5324706,-116.9461073,https://tb-static.uber.com/prod/image-proc/processed_images/fb7b9326be1a1dfacfbccc2670dfe485/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Gainz By Protein Kitchen Baja California,saludable,4.6,340+,"Blvd. Diaz Ordaz #12828 Int-5, Tijuana, LATAM 22105",32.0022,-116.633,https://tb-static.uber.com/prod/image-proc/processed_images/e9091a576955df97806e5f4f54b10b11/a70f5c9df440d10213e93244e9eb7cad.jpeg
Aguacate Sándwiches y Jugos  Calle Tercera,cafetería,4.8,"4,000+","Felipe Carrillo Puerto 8089 Int 15, Tijuana, Baja California 22000",32.5316,-116.7601,https://tb-static.uber.com/prod/image-proc/processed_images/0f19f292efca39606f54a4a86145215b/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Beverly Burgers Soler,americana,4.8,"3,000+","Heraclio Bernal 407, Soler, Tijuana, Baja California 22530",32.6358,-115.5394,https://tb-static.uber.com/prod/image-proc/processed_images/f6ec2fb954b3ef2838ea4608d8699a13/9b3aae4cf90f897799a5ed357d60e09d.jpeg
La Cabaña Cucapah,mexicana,4.5,"2,000+","Sta. Rosalía 20386-20302, Buenos Aires Sur, 22207 Tijuana, B.C., México, L7, B.C. 22207",32.0783,-116.5426,https://tb-static.uber.com/prod/image-proc/processed_images/3b268adcbf981d14fe3c4ccfaaaf4773/9b3aae4cf90f897799a5ed357d60e09d.jpeg
La Ramada By Cachanilla ,mexicana,4.5,"2,000+","Carretera Libre Tijuana Ensenada, Playas De Rosarito, BC 22703",32.6278,-115.4545,https://tb-static.uber.com/prod/image-proc/processed_images/2dd3dd9a7ade9c98166c1b4bc6373d7e/f8403c421bef668ad381b5e82e546060.jpeg
Blue Luna Café  Rio,cafetería,4.5,"2,000+","Blvd. Gral. Abelardo L. Rodríguez 2698, Zona Urbana Rio Tijuana, Baja California 22010",32.55668,-117.12865,https://tb-static.uber.com/prod/image-proc/processed_images/493024b946c6ea39f6262508463087ff/f8403c421bef668ad381b5e82e546060.jpeg
GOU GOU PIZZA  CEDROS,italiana,4.7,700+,"Blvd Paseo Banderas 4410 L23, Plaza El Florido Cedros
Tijuana, Urbi Quinta Del Cedro. 
Baja California
C.P. 22564., LATAM 22664",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/a2f3034d3cc2e6fcad3a1016de50e296/f8403c421bef668ad381b5e82e546060.webp
Blue Luna Café  Insurgentes,cafetería,4.8,"2,000+","Av De Los Insurgentes 1050, Interior 8, Libramiento, Tijuana, Baja California 22224",46.17496,18.95639,https://tb-static.uber.com/prod/image-proc/processed_images/493024b946c6ea39f6262508463087ff/f8403c421bef668ad381b5e82e546060.jpeg
